case_id,bug_type,original_bytes,original_statements,line-ddmin_status,line-ddmin_reduced_bytes,line-ddmin_cr,line-ddmin_reduced_statements,line-ddmin_stmt_cr,line-ddmin_invalid_rate,line-ddmin_tests,line-ddmin_time,statement-ddmin_status,statement-ddmin_reduced_bytes,statement-ddmin_cr,statement-ddmin_reduced_statements,statement-ddmin_stmt_cr,statement-ddmin_invalid_rate,statement-ddmin_tests,statement-ddmin_time,reducefix-sql_status,reducefix-sql_reduced_bytes,reducefix-sql_cr,reducefix-sql_reduced_statements,reducefix-sql_stmt_cr,reducefix-sql_invalid_rate,reducefix-sql_tests,reducefix-sql_time,reducefix-sql-cleanup_status,reducefix-sql-cleanup_reduced_bytes,reducefix-sql-cleanup_cr,reducefix-sql-cleanup_reduced_statements,reducefix-sql-cleanup_stmt_cr,reducefix-sql-cleanup_invalid_rate,reducefix-sql-cleanup_tests,reducefix-sql-cleanup_time,cleanup_minus_statement_cr,cleanup_minus_statement_stmt_cr,cleanup_minus_statement_tests,cleanup_minus_statement_invalid_rate
sqlancer_sqlite_168_segfault_in_table_with_generated_column_and_foreign_key,crash,361,7,success,262,27.423822714681446,3,57.14285714285714,0.36363636363636365,22,0.024943113327026367,success,262,27.423822714681446,3,57.14285714285714,0.36363636363636365,22,0.02493572235107422,success,285,21.052631578947366,4,42.85714285714286,0.0,10,0.01193547248840332,success,262,27.423822714681446,3,57.14285714285714,0.23333333333333334,30,0.03503060340881348,0.0,0.0,8.0,-0.1303030303030303
sqlancer_sqlite_169_replace_causes_segfault_in_table_with_generated_column_and_forei,crash,239,5,success,170,28.870292887029294,3,40.0,0.42857142857142855,28,0.030936002731323242,success,170,28.870292887029294,3,40.0,0.42857142857142855,28,0.03178071975708008,success,170,28.870292887029294,3,40.0,0.0,2,0.0026123523712158203,success,170,28.870292887029294,3,40.0,0.2857142857142857,14,0.015214920043945312,0.0,0.0,-14.0,-0.14285714285714285
sqlancer_sqlite_16_incorrect_result_for_and_comparison_of_rowid_and_non_numeric_tex,PQS,207,6,success,168,18.840579710144922,5,16.666666666666664,0.5151515151515151,33,0.03462529182434082,success,168,18.840579710144922,5,16.666666666666664,0.5151515151515151,33,0.035062313079833984,success,168,18.840579710144922,5,16.666666666666664,0.5263157894736842,19,0.020585060119628906,success,168,18.840579710144922,5,16.666666666666664,0.5111111111111111,45,0.04929089546203613,0.0,0.0,12.0,-0.004040404040404066
sqlancer_sqlite_170_incorrect_result_for_glob_operator,NoREC,232,7,success,96,58.62068965517242,3,57.14285714285714,0.5,20,0.0213470458984375,success,96,58.62068965517242,3,57.14285714285714,0.5,20,0.021068572998046875,success,96,58.62068965517242,3,57.14285714285714,0.0,5,0.006086111068725586,success,96,58.62068965517242,3,57.14285714285714,0.35294117647058826,17,0.017848730087280273,0.0,0.0,-3.0,-0.14705882352941174
sqlancer_sqlite_171_left_join_in_view_malfunctions_with_partial_index_on_table,NoREC,222,6,success,146,34.23423423423423,4,33.333333333333336,0.5714285714285714,28,0.0306856632232666,success,146,34.23423423423423,4,33.333333333333336,0.5714285714285714,28,0.02977919578552246,success,146,34.23423423423423,4,33.333333333333336,0.75,8,0.008871078491210938,success,146,34.23423423423423,4,33.333333333333336,0.6,20,0.021654129028320312,0.0,0.0,-8.0,0.02857142857142858
sqlancer_sqlite_177_segfault_when_inserting_into_table_with_generated_columns,crash,192,3,success,192,0.0,3,0.0,0.3333333333333333,12,0.012686014175415039,success,192,0.0,3,0.0,0.3333333333333333,12,0.013026714324951172,success,181,5.7291666666666625,3,0.0,0.0,1,0.0011682510375976562,success,181,5.7291666666666625,3,0.0,0.3076923076923077,13,0.014114141464233398,5.7291666666666625,0.0,1.0,-0.025641025641025605
sqlancer_sqlite_17_like_does_not_match,PQS,121,3,success,121,0.0,3,0.0,0.5,12,0.012647390365600586,success,121,0.0,3,0.0,0.5,12,0.012511968612670898,success,121,0.0,3,0.0,0.0,0,8.940696716308594e-05,success,121,0.0,3,0.0,0.5,12,0.013091087341308594,0.0,0.0,0.0,0.0
sqlancer_sqlite_180_distinct_malfunctions_for_view_with_virtual_table,NoREC,226,6,success,226,0.0,6,0.0,0.5,28,0.03174853324890137,success,226,0.0,6,0.0,0.5,28,0.032920122146606445,success,221,2.212389380530977,6,0.0,0.5,18,0.022089242935180664,success,221,2.212389380530977,6,0.0,0.5,46,0.05389142036437988,2.212389380530977,0.0,18.0,0.0
sqlancer_sqlite_18_row_is_not_fetched_with_pragma_reverse_unordered_selects_true,PQS,219,5,success,180,17.808219178082197,4,19.999999999999996,0.47619047619047616,21,0.022136211395263672,success,180,17.808219178082197,4,19.999999999999996,0.47619047619047616,21,0.021910905838012695,success,180,17.808219178082197,4,19.999999999999996,0.0,2,0.0023272037506103516,success,180,17.808219178082197,4,19.999999999999996,0.42857142857142855,14,0.014528274536132812,0.0,0.0,-7.0,-0.047619047619047616
sqlancer_sqlite_19_malformed_database_image_when_using_a_real_primary_key,error,220,5,success,220,0.0,5,0.0,0.5,26,0.027517080307006836,success,220,0.0,5,0.0,0.5,26,0.027390241622924805,success,191,13.181818181818183,5,0.0,0.0,14,0.015293359756469727,success,191,13.181818181818183,5,0.0,0.325,40,0.04354715347290039,13.181818181818183,0.0,14.0,-0.175
